index_value,data_type,data_type_mentioned,purpose,purpose_mentioned,paragraph,data_type_META,purpose_META
29,Technical Information (General),Data Collection via Mobile Applications,Marketing,"Please note that opting out of either Browser-Based or Mobile Application-Based Data Collection does not mean you will not see ads online from DHSC or other digital advertising companies, but only that DHSC will not tailor ads based on your interests.",200,Device Information,Communication
30,Third-Party Account Data,Information on third-party platforms,MISSED,"Some of Our products are available through platforms that have been created and are managed by other organisations, before making use of these products We recommend that You familiarise yourself with the relevant Privacy Policy for these services.",204,Information from third parties,NOT FOUND
31,Name,you,Communicate with User,You can also exercise the right at any time by contacting Us,107,ID,Communication
32,Email Address,betterhealth@dhsc.gov.uk,Communicate with User,You can also exercise the right at any time by contacting Us,107,NOT FOUND,Communication
33,Email Address,betterhealth@dhsc.gov.uk,Communicate with User,"Questions, comments and requests regarding this privacy policy are welcomed and should be addressed to",123,NOT FOUND,Communication
34,Contact Information,Data Protection Officer,MISSED,Data Protection Officer,127,ID,NOT FOUND
35,Physical Address,Department of Health and Social Care 39 Victoria Street London SW1H 0EU United Kingdom,MISSED,Department of Health and Social Care 39 Victoria Street London SW1H 0EU United Kingdom,129-133,ID,NOT FOUND
36,IP Address,Cookies,Improve Products and Service,Our Site(s) uses cookies to distinguish you from other users of Our Site(s). This helps Us to provide you with a good experience when you browse Our Site(s) and also allows us to improve Our Site(s),138,Network Information,Product Improvement
37,Technical Information (General),A cookie is a small file of letters and numbers,Improve Products and Service,A cookie is a small file of letters and numbers that We store on your browser or the hard drive of your computer if you agree. Cookies contain information that is transferred to your computer's hard drive.,140,Device Information,Product Improvement
38,Technical Information (General),Strictly necessary cookies. These are cookies that are required for the operation of Our Site(s),Provide Services and fulfill contractual obligations,"They include, for example, cookies that enable you to log into secure areas of Our Site(s)",144,Device Information,Functionality
39,Activity Data,Analytical/performance cookies,Improve Products and Service,"They allow Us to recognise and count the number of visitors and to see how visitors move around Our Site(s) when they are using it/them. This helps Us to improve the way Our Site(s) work, for example, by ensuring that users are finding what they are looking for easily.",145,Usage Information,Product Improvement
40,Personalisation,Functionality cookies,Personalisation,"These are used to recognise you when you return to Our Site(s). This enables Us to personalise Our content for you, greet you by name and remember your preferences (for example, your choice of language or region)",147,NOT FOUND,User experience
41,Advertisement Engagement,Targeting cookies,Marketing,"These cookies record your visit to Our Site(s), the pages you have visited and the links you have followed. We will use this information to make Our Site(s) more relevant to your interests. We may also share this information with third parties for this purpose.",148,Usage Information,Communication
42,Technical Information (General),SDKs,Improve Products and Service,Our Apps use SDKs to distinguish you from other users of Our Apps. This helps Us collect information about how you are using Our Apps so We can ensure We are providing you with a good experience when using Our Apps and allows Us to improve Our Apps in future.,170,Device Information,Product Improvement
43,Technical Information (General),Analytics SDKs - Google Analytics,Research,"Analytics SDKs collect information about app usage including data about how many users are using Our Apps, the number of sessions running on Our App and how long each session is, from where in the world these users are logged in from, how many times Our App is crashing, what operating systems and devices are running Our App, and how many times certain of Our App features are used.",176,Device Information,Research
44,Advertisement Engagement,Interest-based advertising SDKs - RhythmOne,Marketing,"To identify the interests of users, so that We can deliver advertising that is more relevant to your interests.",179,Usage Information,Communication
45,Technical Information (General),Data Collection via Mobile Applications,Marketing,"Please note that opting out of either Browser-Based or Mobile Application-Based Data Collection does not mean you will not see ads online from DHSC or other digital advertising companies, but only that DHSC will not tailor ads based on your interests.",200,Device Information,Communication
46,Third-Party Account Data,Information on third-party platforms,MISSED,"Some of Our products are available through platforms that have been created and are managed by other organisations, before making use of these products We recommend that You familiarise yourself with the relevant Privacy Policy for these services.",204,Information from third parties,NOT FOUND
