field_id,parent_id,display_name,description,risk_band,numeric_weight_0_10
sub_pseudonymisation,cat_research,,Subcategory: Pseudonymisation,MED,6.0
replacing_identifiers_in_datasets,sub_pseudonymisation,,"Used to minimize data risk; considered a safeguard if re-identification is prevented. — May refer to pseudonymisation processes, masking techniques, or data minimisation practices.",MED,6.0
sub_research,cat_research,,Subcategory: Research,MED,6.0
analyzing_anonymized_usage_data,sub_research,,"If data is truly anonymized, GDPR does not apply; if pseudonymized, residual risk remains. — May refer to statistical analysis, research using anonymized datasets, or aggregated insights.",MED,6.0
sub_special_category_processing,cat_research,,Subcategory: Special Category Processing,MED,6.0
processing_health_or_biometric_data_for_research,sub_special_category_processing,,Involves sensitive data requiring explicit consent or legal basis; strict safeguards apply. — May refer to handling of sensitive personal data under strict legal or research frameworks.,MED,6.0
cat_safety_and_security,purposes,,Category: Safety and Security,MED,6.0
sub_service_security,cat_safety_and_security,,Subcategory: Service Security,MED,6.0
detecting_security_threats,sub_service_security,,"Security monitoring may involve behavior analysis; risk is mitigated by necessity and safeguards. — May refer to intrusion detection, access logs, security audits, or technical threat mitigation.",MED,6.0
sub_user_safety,cat_safety_and_security,,Subcategory: User Safety,MED,6.0
reporting_abuse_or_blocking_users,sub_user_safety,,"Involves processing sensitive reports; medium risk due to potential profiling or misidentification. — May refer to user safety features, content moderation, or reporting mechanisms.",MED,6.0
cat_user_experience,purposes,,Category: User Experience,MED,6.0
sub_display,cat_user_experience,,Subcategory: Display,MED,6.0
adjusting_layout_for_device_type,sub_display,,"Minimal data use; typically does not impact rights or involve profiling. — May refer to responsive design, screen resolution adjustment, or UI personalization based on device data.",HIGH,9.0
sub_interaction,cat_user_experience,,Subcategory: Interaction,MED,6.0
tracking_clicks_and_navigation,sub_interaction,,"Behavioral tracking can lead to implicit profiling; needs lawful basis and user awareness. — May refer to monitoring user interaction, clickstream analysis, or behavioral data collection within the platform.",HIGH,9.0
sub_personalisation,cat_user_experience,,Subcategory: Personalisation,HIGH,9.0
recommending_content_based_on_behavior,sub_personalisation,,"Involves profiling that may affect user behavior or choices; requires transparency and potentially consent. — May refer to personalized recommendations, tailored content, or adaptation of user experience based on past behavior or preferences.",HIGH,9.0
